id,question,old_expected_intent,current_predicted_intent,suggested_intent,final_label,needs_manual_review,reason
0,Is Hibiscus sabdariffa helpful in lowering cholesterol for metabolic syndrome patients?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
1,Can ginger help alleviate nausea and vomiting during pregnancy?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
2,Does drinking grapefruit juice affect cardiovascular health and cause drug interactions?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
3,Does consumption of cooking oil and fish oil capsules affect octylphenol concentrations in breast milk?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
4,How does dietary phosphorus or phosphate additives in grain products affect cardiovascular health?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
5,Is statin use associated with improved survival rates in breast cancer patients?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
6,Can prenatal exposure to methylmercury affect a child's attention span later in life?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
7,Are there safe alternatives to NSAIDs for managing severe primary dysmenorrhea?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
8,Is surgery an effective and recommended treatment for severe mastalgia?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
9,Does Hibiscus sabdariffa have a uricosuric effect?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
10,Can high doses of Hibiscus sabdariffa extract cause testicular toxicity?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
11,Can marinades containing hibiscus extract prevent the formation of carcinogens in fried meat?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
12,Is taking Hibiscus sabdariffa safe when using diclofenac?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
13,Does common fructose consumption cause gastrointestinal distress in healthy adults?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
14,Can alpha-galactosidase supplements help reduce intestinal gas from eating beans?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
15,How effective are charcoal-containing garments at reducing flatus odor?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
16,Is abnormal lipid metabolism linked to Alzheimer's disease pathology?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
17,Does continuous low-dose aspirin increase the risk of gastroduodenal ulcers?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
18,Can saffron be used to treat mild-to-moderate depression?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
19,Is saffron effective in treating male erectile dysfunction?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
20,Does high egg consumption increase cardiovascular disease risk in older adults?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
21,How do phytoestrogens affect estrogen production in humans?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
22,Does consuming a high-soy diet alter estrogen levels in breast nipple aspirate fluid?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
23,"What is the effect of a dietary portfolio containing plant sterols, soy, and almonds on LDL cholesterol?",BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
24,Is telomere length affected by diet and micronutrients?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
25,Can adding spices to a meal improve metabolism and antioxidant status?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
26,What effect does obesity have on women with polycystic ovary syndrome (PCOS)?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
27,Does maca consumption improve health in high-altitude populations?,HEALTH_ADVICE,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
28,Is a hypocaloric diet better than metformin for improving insulin resistance in PCOS?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
29,Does marjoram tea affect the hormonal profile in women with PCOS?,BOTH,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
30,Are high-protein diets more effective than standard diets for weight loss in PCOS?,BOTH,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,yes,health/research question; no explicit USDA nutrition lookup cue
31,Does structured exercise training alongside diet improve fertility in obese PCOS patients?,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,HEALTH_ADVICE,no,health/research question; no explicit USDA nutrition lookup cue
