id,text,label,source,review_status,notes
0,How many calories are in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
1,What is the calorie content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
2,How many calories are in one serving of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
3,"Show me the calories, protein, fat, and carbs in 100g of chicken breast.",NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
4,What are the USDA nutrition facts for chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
5,How much protein is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
6,What is the protein content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
7,How much protein does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
8,How much carbohydrates is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
9,What is the carbohydrates content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
10,How much carbohydrates does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
11,How much fat is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
12,What is the fat content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
13,How much fat does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
14,How much fiber is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
15,What is the fiber content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
16,How much fiber does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
17,How much sugar is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
18,What is the sugar content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
19,How much sugar does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
20,How much sodium is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
21,What is the sodium content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
22,How much sodium does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
23,How much cholesterol is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
24,What is the cholesterol content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
25,How much cholesterol does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
26,How much calcium is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
27,What is the calcium content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
28,How much calcium does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
29,How much iron is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
30,What is the iron content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
31,How much iron does chicken breast contain per serving?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
32,How much potassium is in 100g of chicken breast?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
33,What is the potassium content of chicken breast per 100g?,NUTRITION_LOOKUP,crafted_hard_v2,reviewed_by_codex_schema_v1,exact nutrition lookup cue; no health advice requested
