text,label
What is the folate in broccoli and is it good for fatty liver disease?,BOTH
Is peanuts recommended for gout? What is its zinc content per serving?,BOTH
Can osteoporosis patients eat bell peppers? What is the cholesterol content?,BOTH
Is black beans a good source of niacin for people with obesity?,BOTH
How does pinto beans's fiber level relate to insomnia?,BOTH
"For high blood pressure management, how much peanuts can I eat given its protein content?",BOTH
How does bananas's omega-3 fatty acids level relate to inflammatory bowel disease?,BOTH
Can celiac disease patients eat pasta? What is the magnesium content?,BOTH
Is half a cup of lamb too much iron for a metabolic syndrome patient?,BOTH
Can cabbage help control depression because of its sugar?,BOTH
Can spinach help control type 1 diabetes because of its vitamin C?,BOTH
Can gout patients eat blueberries? What is the sugar content?,BOTH
What is the thiamine in bananas and is it good for anxiety?,BOTH
How does eating mozzarella affect GERD given its high phosphorus content?,BOTH
Does peaches have enough thiamine to help with chronic kidney disease?,BOTH
Can chickpeas help control gastritis because of its potassium?,BOTH
Is skim milk high in calories and beneficial for hypertension?,BOTH
Is oranges high in niacin and beneficial for celiac disease?,BOTH
Can the phosphorus in avocado benefit low blood pressure patients?,BOTH
Is coconut oil a good source of sodium for people with acid reflux?,BOTH
How does eating cottage cheese affect metabolic syndrome given its high omega-3 fatty acids content?,BOTH
Should someone with anemia eat beets given its folate content?,BOTH
"For fatty liver disease management, how much quinoa can I eat given its vitamin C content?",BOTH
Can onions help control type 1 diabetes because of its calories?,BOTH
What role does the folate in cashews play for people with cardiovascular disease?,BOTH
How much calcium is in one serving of lentils and is that good for iron-deficiency anemia?,BOTH
How many saturated fat are in whole milk and is it safe for GERD?,BOTH
Can duck help control fatty liver disease because of its vitamin C?,BOTH
Is the potassium content of almond butter beneficial or harmful for type 1 diabetes?,BOTH
Is half a cup of soybeans too much vitamin C for a heart disease patient?,BOTH
Does sweet potatoes have enough fiber to help with coronary artery disease?,BOTH
How does cucumber's potassium level relate to gout?,BOTH
Can the saturated fat in apples benefit gestational diabetes patients?,BOTH
Can sardines help control inflammatory bowel disease because of its omega-3 fatty acids?,BOTH
Is the vitamin B12 level in duck appropriate for someone with GERD?,BOTH
Does pumpkin seeds have enough total fat to help with low blood pressure?,BOTH
Is cabbage recommended for chronic kidney disease? What is its niacin content per serving?,BOTH
What makes dark chocolate suitable or unsuitable for gout attacks based on its potassium?,BOTH
"For hypertension management, how much apples can I eat given its omega-3 fatty acids content?",BOTH
Should someone with gluten intolerance eat walnuts given its vitamin B12 content?,BOTH
"For hypertension management, how much whole wheat bread can I eat given its fiber content?",BOTH
Should someone with anxiety eat cucumber given its vitamin D content?,BOTH
Is the phosphorus content of beef beneficial or harmful for elevated LDL cholesterol?,BOTH
Is bell peppers good for anemia? How much total fat does it contain?,BOTH
Is flaxseeds recommended for GERD? What is its vitamin B12 content per serving?,BOTH
What role does the saturated fat in lobster play for people with low blood pressure?,BOTH
Is the magnesium content of beets beneficial or harmful for hypertension?,BOTH
