question,intent_label
Is kiwi high in sodium and beneficial for gout?,BOTH
Can people with depression eat sweet potatoes?,HEALTH_ADVICE
Which foods are beneficial for people with cardiovascular disease?,HEALTH_ADVICE
Is eggs recommended or not recommended for rheumatoid arthritis?,HEALTH_ADVICE
What percentage of daily zinc is in pumpkin seeds?,NUTRITION_LOOKUP
Is olive oil recommended or not recommended for gastritis?,HEALTH_ADVICE
How does the phosphorus in skim milk compare to the daily requirement?,NUTRITION_LOOKUP
Can carrots help control diabetes because of its vitamin B12?,BOTH
"For fatty liver disease management, how much quinoa can I eat given its vitamin C content?",BOTH
Is chicken breast good for elevated LDL cholesterol? How much folate does it contain?,BOTH
What is the nutritional value of quinoa in terms of iron?,NUTRITION_LOOKUP
Is turkey breast a good source of sodium for people with elevated LDL cholesterol?,BOTH
How many grams of potassium are in sweet potatoes?,NUTRITION_LOOKUP
Is white rice recommended for lactose intolerance? What is its vitamin A content per serving?,BOTH
Is the magnesium content of beets beneficial or harmful for hypertension?,BOTH
Is a medium portion of watermelon too much calcium for a acid reflux patient?,BOTH
How should someone with gout attacks adjust their diet?,HEALTH_ADVICE
What makes cheddar cheese suitable or unsuitable for hyperthyroidism based on its vitamin D?,BOTH
Is a 150g portion of strawberries too much vitamin D for a diabetes patient?,BOTH
What percentage of daily vitamin B12 is in white bread?,NUTRITION_LOOKUP
Is bell peppers good for anemia? How much total fat does it contain?,BOTH
What role does the vitamin A in pumpkin seeds play for people with irritable bowel syndrome?,BOTH
How many saturated fat are in half a cup of almond butter?,NUTRITION_LOOKUP
Is peaches good for anemia? How much zinc does it contain?,BOTH
What are the fiber levels in lamb?,NUTRITION_LOOKUP
What is the protein content of mushrooms?,NUTRITION_LOOKUP
Can you tell me the omega-6 fatty acids in one cup of peanut butter?,NUTRITION_LOOKUP
Is flaxseeds high in calcium and beneficial for depression?,BOTH
How many thiamine calories does mango have?,NUTRITION_LOOKUP
What proteins are best for a person with lactose intolerance?,HEALTH_ADVICE
How many grams of sugar are in lentils?,NUTRITION_LOOKUP
Is white rice high in omega-3 fatty acids and beneficial for gastritis?,BOTH
What is the cholesterol macro for whole wheat bread?,NUTRITION_LOOKUP
What is the best diet for controlling obesity?,HEALTH_ADVICE
Is tempeh good for rheumatoid arthritis? How much fiber does it contain?,BOTH
Diet recommendations for osteoporosis patients?,HEALTH_ADVICE
Is peanuts recommended or not recommended for chronic kidney disease?,HEALTH_ADVICE
Is kale a good source of sodium for people with hyperthyroidism?,BOTH
How much magnesium is in a 150g portion of salmon and is that good for gout attacks?,BOTH
What makes lobster suitable or unsuitable for depression based on its sodium?,BOTH
How rich is cauliflower in vitamin D?,NUTRITION_LOOKUP
Is lentils good for metabolic syndrome? How much total fat does it contain?,BOTH
Is green peas recommended for acid reflux? What is its phosphorus content per serving?,BOTH
How does kidney beans's riboflavin level relate to fatty liver disease?,BOTH
I need the selenium count for dark chocolate.,NUTRITION_LOOKUP
How should someone with cardiovascular disease adjust their diet?,HEALTH_ADVICE
I need the calories count for spinach.,NUTRITION_LOOKUP
What is the exact potassium in a small bowl Greek yogurt?,NUTRITION_LOOKUP
How many calories are in strawberries and is it safe for hypothyroidism?,BOTH
What is the total potassium per 200 calories worth of coconut oil?,NUTRITION_LOOKUP
How does eating cashews affect diabetes given its high iron content?,BOTH
Does almonds have a lot of vitamin D?,NUTRITION_LOOKUP
Is the sodium content of apples beneficial or harmful for high cholesterol?,BOTH
How does chickpeas's vitamin C level relate to metabolic syndrome?,BOTH
Is it safe to eat whole milk with heart disease?,HEALTH_ADVICE
What is a healthy diet for someone with chronic kidney disease?,HEALTH_ADVICE
What is the best diet for controlling fatty liver disease?,HEALTH_ADVICE
How rich is cabbage in omega-6 fatty acids?,NUTRITION_LOOKUP
What percentage of daily riboflavin is in peaches?,NUTRITION_LOOKUP
Is peanut butter recommended for elevated LDL cholesterol? What is its sodium content per serving?,BOTH
What is the total phosphorus per 100 grams of kiwi?,NUTRITION_LOOKUP
Does celery have a lot of zinc?,NUTRITION_LOOKUP
What snacks are suitable for someone with arthritis?,HEALTH_ADVICE
What role does the thiamine in garlic play for people with elevated LDL cholesterol?,BOTH
What is the potassium breakdown for duck?,NUTRITION_LOOKUP
Is turkey breast a good source of folate for people with lactose intolerance?,BOTH
How much potassium is there in a 150g portion of mango?,NUTRITION_LOOKUP
What is the best diet for controlling low blood pressure?,HEALTH_ADVICE
How does the iron in spinach compare to the daily requirement?,NUTRITION_LOOKUP
What is the total vitamin C per one tablespoon of watermelon?,NUTRITION_LOOKUP
Is half a cup of soybeans too much vitamin C for a heart disease patient?,BOTH
How much potassium is in a handful of of pasta and is that good for PCOS?,BOTH
Can fatty liver disease patients eat walnuts? What is the calcium content?,BOTH
Diet recommendations for metabolic syndrome patients?,HEALTH_ADVICE
What is the best diet for controlling irritable bowel syndrome?,HEALTH_ADVICE
What snacks are suitable for someone with type 1 diabetes?,HEALTH_ADVICE
Does tuna have a lot of thiamine?,NUTRITION_LOOKUP
Can the cholesterol in oranges benefit hyperthyroidism patients?,BOTH
Can the vitamin B12 in brown rice benefit depression patients?,BOTH
Is it safe to eat sardines with anemia?,HEALTH_ADVICE
Can people with lactose intolerance eat cabbage?,HEALTH_ADVICE
How much thiamine is in one serving of pasta and is that good for high cholesterol?,BOTH
Should someone with fatty liver disease eat bell peppers given its calories content?,BOTH
Can people with celiac disease eat carrots?,HEALTH_ADVICE
Is the vitamin A level in almond butter appropriate for someone with lactose intolerance?,BOTH
Does asparagus have a lot of sodium?,NUTRITION_LOOKUP
How rich is blueberries in selenium?,NUTRITION_LOOKUP
